category,month,year,clicks
"Champagne, Sparkling Wine & Prosecco",8,2021,51143.0
"Champagne, Sparkling Wine & Prosecco",7,2021,51692.0
"Champagne, Sparkling Wine & Prosecco",11,2021,81142.0
"Champagne, Sparkling Wine & Prosecco",9,2021,48794.0
"Champagne, Sparkling Wine & Prosecco",2,2021,45506.0
"Champagne, Sparkling Wine & Prosecco",10,2021,55957.0
"Champagne, Sparkling Wine & Prosecco",4,2021,47221.0
"Champagne, Sparkling Wine & Prosecco",1,2021,59296.0
"Champagne, Sparkling Wine & Prosecco",3,2021,48166.0
"Champagne, Sparkling Wine & Prosecco",5,2021,52018.0
"Champagne, Sparkling Wine & Prosecco",6,2021,43985.0
"Champagne, Sparkling Wine & Prosecco",12,2021,
